emp_no,first_name,last_name,salary,title,from_date
233681,Adam,Fontet,40000,Senior Engineer,1993-06-13
226884,Adam,Fortenbacher,40000,Assistant Engineer,1997-05-19
265814,Adam,Garrabrants,40000,Senior Staff,1997-04-21
418934,Adam,Gurbaxani,51582,Senior Staff,1992-11-30
427795,Adam,Hofting,88564,Senior Staff,1994-11-05
86539,Adam,Junet,40000,Senior Staff,1994-10-06
43241,Adam,Kisuki,71985,Senior Staff,2000-04-19
214307,Adam,Lamma,40000,Senior Engineer,1995-01-25
265830,Adam,Marchegay,40000,Senior Engineer,1988-07-11
465053,Adam,Navazio,47193,Senior Staff,2000-07-07
482523,Adam,Plessier,49571,Technique Leader,1989-11-11
430016,Adam,Randi,45009,Senior Staff,1994-07-08
272727,Adam,Shiratori,40000,Technique Leader,1985-03-25
446319,Adam,Siepmann,40000,Senior Staff,1993-02-10
475886,Adam,Vecchio,86937,Senior Staff,1992-01-12
249174,Adam,Vernadat,89375,Senior Engineer,1991-10-11
459363,Adam,Walston,40000,Senior Engineer,1996-02-04
17925,Adamantios,Baezner,47958,Senior Engineer,1996-03-08
456183,Adamantios,Bennis,40000,Senior Engineer,1998-07-09
292322,Adamantios,Colorni,98832,Senior Staff,1993-03-03
75688,Adamantios,Crooks,58658,Staff,1998-08-22
225363,Adamantios,Cullers,40000,Senior Staff,1986-01-05
493997,Adamantios,Emiris,43338,Staff,1995-06-29
415807,Adamantios,Encarnacion,59863,Senior Staff,1998-09-22
36197,Adamantios,Eppinger,40000,Senior Staff,1996-10-05
402942,Adamantios,Ligten,91981,Senior Staff,1997-08-18
236555,Adamantios,Luga,61592,Senior Staff,1999-08-16
486674,Adamantios,Luke,40000,Senior Engineer,2000-02-21
428732,Adamantios,Malabarba,47588,Senior Engineer,1988-04-20
452527,Adamantios,Nourani,55929,Senior Staff,1994-09-22
29527,Adamantios,Oaver,58827,Senior Staff,1995-11-06
494692,Adamantios,Pehl,40000,Senior Staff,1994-01-06
297201,Adamantios,Rahier,44879,Senior Engineer,1997-09-24
226919,Adamantios,Rehfuss,47422,Senior Staff,1986-09-19
100884,Adamantios,Rousseau,44880,Senior Staff,2000-12-14
402585,Adamantios,Swick,45558,Senior Staff,1996-04-11
266735,Adamantios,Thambidurai,40721,Senior Staff,1994-08-30
488018,Adamantios,Zweizig,75933,Senior Staff,1994-04-20
215776,Adas,Ashish,43918,Senior Engineer,1993-03-10
45743,Adas,Baaleh,65720,Senior Staff,2001-03-14
481694,Adas,Baumann,40000,Senior Engineer,1996-05-30
286412,Adas,Bresenham,40000,Senior Engineer,1999-05-10
251092,Adas,Chenney,59201,Senior Engineer,1994-03-15
410418,Adas,Dahlbom,60695,Senior Engineer,1990-08-21
213786,Adas,Deyuan,84123,Senior Staff,1996-01-14
100974,Adas,Ebeling,40000,Engineer,1994-10-25
452626,Adas,Ertl,40000,Senior Engineer,1987-07-05
415574,Adas,Gimbel,40164,Senior Engineer,1987-05-08
406950,Adas,Heering,66766,Senior Staff,2000-01-25
14167,Adas,Hertweck,40000,Senior Engineer,1994-12-01
285065,Adas,Hitomi,48100,Senior Engineer,1993-08-08
498613,Adas,Hofmeyr,91907,Senior Staff,1991-01-02
471239,Adas,Marletta,40000,Senior Staff,1998-11-06
294978,Adas,Pagter,66099,Senior Engineer,1995-09-04
22917,Adas,Pfau,47460,Senior Engineer,1995-11-18
496302,Adas,Plesums,42309,Engineer,1997-07-03
480060,Adas,Radwan,45665,Engineer,1994-12-24
433020,Adas,Rahimi,40000,Engineer,1998-09-10
46960,Adas,Ranze,40000,Senior Engineer,1996-06-26
218061,Adas,Rusterholz,51836,Senior Engineer,1994-12-04
39900,Adas,Schach,40000,Technique Leader,1996-07-14
471815,Adas,Sidje,45408,Senior Engineer,1996-01-18
462559,Adas,Swift,62223,Senior Engineer,1997-11-15
39868,Adas,Tomescu,42251,Senior Engineer,1991-04-18
59734,Adas,Ulupinar,50404,Senior Engineer,1995-12-26
447213,Adas,Warwick,94124,Senior Engineer,1993-12-31
429680,Adas,Weiland,40000,Senior Engineer,1994-09-16
85489,Adas,Zwicker,63977,Senior Staff,1988-09-12
488928,Adel,Bazelow,58425,Senior Staff,1995-01-26
445314,Adel,Caine,50639,Senior Engineer,1996-11-15
271148,Adel,Czaja,40000,Assistant Engineer,1999-05-31
423916,Adel,Ecklund,40000,Senior Staff,1986-04-13
86906,Adel,Fiutem,40433,Senior Engineer,1985-06-07
435590,Adel,Hardjono,40302,Senior Engineer,1997-12-26
221990,Adel,Hiyoshi,54446,Senior Engineer,1995-12-30
73017,Adel,Iisaka,59529,Engineer,2002-01-01
109852,Adel,Kusakabe,77482,Senior Staff,1991-07-10
294288,Adel,Lyonns,40000,Technique Leader,1997-07-04
264717,Adel,McConalogue,40000,Senior Engineer,2001-01-05
248019,Adel,McDermid,44341,Senior Staff,2002-02-25
246467,Adel,Nations,56408,Senior Engineer,1985-09-20
291762,Adel,Paludetto,40000,Senior Engineer,1985-11-30
29507,Adel,Panwar,58624,Senior Engineer,1996-10-05
29659,Adel,Pokrovskii,45464,Senior Staff,1991-06-06
97918,Adel,Pollacia,66931,Senior Staff,1993-08-31
48185,Adel,Pusterhofer,40000,Technique Leader,1988-02-09
37814,Adel,Salvesen,86781,Senior Staff,1995-09-12
57377,Adel,Slobodova,40000,Engineer,1995-08-15
103558,Adel,Unni,68004,Senior Staff,1992-12-24
54407,Adhemar,Attimonelli,75611,Senior Staff,1991-09-24
483667,Adhemar,Baik,40000,Senior Engineer,1995-07-25
22953,Adhemar,Bashian,43331,Senior Staff,1994-12-26
294865,Adhemar,Dalphin,40809,Senior Staff,1995-09-27
208436,Adhemar,Denny,63516,Senior Staff,1987-08-26
92637,Adhemar,Denos,57104,Senior Engineer,1999-03-26
50953,Adhemar,Fiebach,65699,Senior Engineer,1992-07-04
230180,Adhemar,Kamble,64416,Senior Engineer,1990-09-03
292494,Adhemar,Kinley,40000,Senior Engineer,1996-10-31
205779,Adhemar,Kuhnemann,72876,Senior Staff,1999-01-04
242601,Adhemar,Kumaresan,53736,Senior Engineer,1995-12-23
490104,Adhemar,Lowrie,78732,Staff,1998-02-26
263202,Adhemar,Lyonns,40000,Senior Staff,1992-09-14
487422,Adhemar,Maksimenko,81540,Technique Leader,1988-01-21
434327,Adhemar,Middleton,51612,Engineer,1998-06-09
108251,Adhemar,Muhling,53380,Engineer,1998-05-27
417576,Adhemar,Murtagh,84269,Senior Staff,1996-06-25
28281,Adhemar,Oxenboll,101359,Senior Staff,1998-12-05
18020,Adhemar,Pelz,40000,Senior Staff,1993-03-31
106985,Adhemar,Pfau,40000,Senior Engineer,1995-04-18
426606,Adhemar,Range,57683,Senior Staff,1996-05-19
46470,Adhemar,Rassart,40000,Technique Leader,1987-06-18
220419,Adhemar,Seuren,40000,Senior Engineer,1987-01-29
417545,Adhemar,Trystram,40000,Senior Engineer,1986-04-04
489365,Adhemar,Validov,58626,Senior Engineer,1993-06-05
431078,Adib,Ananiadou,73990,Senior Staff,1994-07-01
63487,Adib,Badr,51806,Senior Engineer,2000-05-21
76760,Adib,Bale,48303,Engineer,2002-02-04
432402,Adib,Basagni,43555,Senior Engineer,1999-09-21
50102,Adib,Boudaillier,40000,Engineer,1999-10-21
17674,Adib,Braccini,43044,Senior Engineer,1993-03-19
461672,Adib,Cardazo,40000,Senior Engineer,2000-09-04
63638,Adib,Chepyzhov,40000,Senior Staff,1992-11-09
478037,Adib,Halevi,52879,Senior Engineer,1993-03-05
231959,Adib,Hatcliff,66327,Senior Staff,2001-05-06
487280,Adib,Hitomi,40000,Senior Engineer,1999-01-14
216230,Adib,Kabayashi,54257,Technique Leader,1997-03-19
431761,Adib,Kinley,81278,Senior Staff,1994-06-20
32849,Adib,Kornyak,55787,Senior Engineer,1987-05-12
83698,Adib,Krohn,40000,Senior Staff,1985-11-17
23204,Adib,Lieblein,40000,Senior Staff,2001-08-26
25037,Adib,Magliocco,63524,Senior Engineer,1999-11-18
246630,Adib,Markovitch,69702,Engineer,2001-07-07
457853,Adib,Morrey,45544,Senior Engineer,1994-04-21
429493,Adib,Motley,40000,Senior Engineer,1999-03-17
436585,Adib,Pargas,62647,Senior Staff,1994-03-12
202119,Adib,Passino,57403,Senior Staff,1994-05-07
11070,Adib,Raney,40000,Senior Engineer,1991-07-24
238149,Adib,Rothe,42785,Senior Engineer,1995-10-25
10718,Adib,Rullman,75473,Senior Engineer,1997-07-21
22794,Adib,Schiper,40000,Senior Staff,1996-12-14
285226,Adib,Schonegge,40000,Senior Engineer,2000-09-18
67989,Adib,Schwaller,67666,Senior Staff,1993-12-23
404850,Adib,Sevcikova,40000,Senior Engineer,1993-11-29
278280,Adib,Shiratori,41063,Senior Staff,1995-10-04
467011,Adib,Srimani,76953,Senior Staff,1996-01-22
266871,Adib,Tsukune,46567,Senior Engineer,1992-09-26
442550,Adib,Vadhan,40000,Senior Engineer,1994-02-17
404884,Adib,Yetim,51045,Senior Engineer,2000-06-21
466711,Adib,Zeidenstein,40000,Senior Staff,1986-12-24
427159,Adib,Zockler,40000,Technique Leader,1987-08-15
208020,Adil,Boudaillier,40000,Senior Engineer,1993-06-30
295651,Adil,Coombs,54215,Senior Staff,1985-08-14
11624,Adil,Gammage,42001,Senior Engineer,1996-07-15
266079,Adil,Ghemri,40000,Senior Engineer,1993-02-08
466279,Adil,Goodrum,86419,Senior Staff,1995-03-24
235658,Adil,Gyorkos,57958,Senior Staff,1995-06-28
258752,Adil,Jervis,50527,Senior Staff,1993-09-24
488168,Adil,Kenevan,40000,Senior Engineer,2000-07-06
247116,Adil,Lambe,40000,Senior Engineer,1996-09-04
477682,Adil,Miyakawa,81498,Staff,1998-08-16
238155,Adil,Nittel,50513,Engineer,1997-10-31
14906,Adil,Parveen,54758,Senior Staff,1996-12-10
258831,Adil,Perin,64905,Senior Staff,1991-06-02
206604,Adil,Rajala,66204,Senior Engineer,1992-12-14
237175,Adil,Reutenauer,53992,Senior Staff,1994-12-14
26315,Adil,Schnabel,40000,Senior Staff,1987-02-01
482366,Adil,Schurmann,70161,Senior Engineer,1995-02-16
218504,Adil,Shobatake,65027,Senior Staff,1997-06-09
50838,Adil,Skogmar,45211,Senior Staff,1993-09-05
235573,Adil,Stamatiou,62788,Senior Staff,1997-02-07
19841,Adil,Straney,49999,Staff,1996-04-12
286084,Adil,Swist,55712,Senior Staff,1994-11-15
253165,Adin,Assaf,40000,Senior Engineer,1998-08-31
27319,Adin,Bashian,53917,Senior Staff,1996-12-05
437483,Adin,Callaway,40000,Senior Staff,1995-05-13
434988,Adin,Cannata,40000,Senior Engineer,1992-08-03
81553,Adin,Fortenbacher,40000,Senior Staff,1995-04-23
282630,Adin,Gimbel,40000,Senior Engineer,1993-03-05
285513,Adin,Kamber,40000,Technique Leader,1989-10-02
36537,Adin,Kawashima,40000,Senior Engineer,1993-02-05
422131,Adin,Kleiser,44304,Engineer,1999-04-19
49434,Adin,Koblitz,40000,Senior Engineer,1993-07-01
413169,Adin,Kropp,55624,Senior Staff,1996-08-05
492428,Adin,Laventhal,73220,Senior Engineer,1998-07-10
456838,Adin,Makrucki,45731,Senior Engineer,1987-05-28
59094,Adin,McDermid,75660,Senior Engineer,1993-01-03
95902,Adin,Mikschl,81491,Senior Staff,1993-09-02
74542,Adin,Naumovich,74942,Senior Staff,1997-06-20
25643,Adin,Peak,60206,Staff,1999-06-11
42424,Adin,Picco,40000,Engineer,1998-09-16
51088,Adin,Rathonyi,59934,Senior Staff,2000-04-28
457577,Adin,Rosay,62037,Staff,1995-07-12
291817,Adin,Rosca,40000,Technique Leader,1995-09-13
434704,Adin,Schaar,40000,Senior Staff,2000-12-26
456675,Adin,Sethi,40606,Senior Staff,2001-04-26
28143,Adin,Teitelbaum,50403,Senior Staff,1993-10-25
257733,Adin,Toyoshima,57893,Senior Engineer,2000-01-06
284560,Adin,Valiente,54947,Staff,1996-05-22
240927,Adit,Alvarado,47712,Senior Engineer,1992-07-05
294940,Adit,Baar,40000,Senior Engineer,1996-01-10
444004,Adit,Baig,40083,Senior Engineer,1992-11-06
258609,Adit,Birge,40000,Senior Engineer,1993-09-27
81653,Adit,Brobst,40000,Senior Engineer,2001-04-19
285326,Adit,Chenney,47512,Staff,1998-08-02
74116,Adit,Couchot,40000,Senior Engineer,2000-07-15
88707,Adit,Ermel,40000,Senior Engineer,1992-03-01
105408,Adit,Gihr,68754,Senior Engineer,1994-11-06
103537,Adit,Grospietsch,79395,Senior Staff,1992-11-18
441104,Adit,Krzyzanowski,84982,Senior Engineer,1987-07-29
258196,Adit,Lorys,63249,Senior Staff,1985-08-10
488756,Adit,Luke,53426,Senior Staff,1999-12-19
469985,Adit,Magliocco,40000,Senior Engineer,1988-04-22
231929,Adit,Muhlberg,40000,Senior Staff,1997-03-13
485704,Adit,Murtha,53562,Senior Engineer,1997-06-07
444659,Adit,Orsini,40000,Senior Staff,1997-02-21
430570,Adit,Papadias,40000,Senior Staff,1994-05-19
19268,Adit,Papastamatiou,40000,Senior Engineer,1986-05-10
248908,Adit,Peha,45468,Engineer,1998-08-09
401008,Adit,Penz,64861,Senior Engineer,1994-08-07
30418,Adit,Perl,61205,Senior Staff,1996-08-31
33838,Adit,Ranai,58188,Staff,1998-05-25
294332,Adit,Ranft,53789,Senior Staff,1994-07-06
82626,Adit,Reeken,47175,Senior Engineer,1997-11-01
